pair,group,first,second,path,wup,path_synsets,wup_synsets
assignment,house synonyms × train synonyms,family,school,0.2,0.666667,family.n.02; school.n.04,family.n.01; school.n.01
assignment,house synonyms × train synonyms,family,trail,0.111111,0.444444,class.n.01; lead.n.03,kin.n.01; trail.n.02
assignment,house synonyms × train synonyms,family,wagon_train,0.25,0.727273,class.n.01; caravan.n.01,class.n.01; caravan.n.01
assignment,house synonyms × train synonyms,firm,aim,0.166667,0.285714,tauten.v.01; aim.v.02,tauten.v.01; aim.v.02
assignment,house synonyms × train synonyms,firm,prepare,0.25,0.285714,tauten.v.02; fix.v.12,tauten.v.01; fix.v.12
assignment,house synonyms × train synonyms,firm,develop,0.25,0.285714,tauten.v.01; develop.v.03,tauten.v.01; break.v.53
assignment,house synonyms × train synonyms,firm,direct,0.333333,0.5,fast.s.05; direct.s.01,fast.s.05; direct.s.01
assignment,house synonyms × train synonyms,firm,discipline,0.2,0.307692,tauten.v.02; discipline.v.01,firm.n.01; discipline.n.03
assignment,house synonyms × train synonyms,firm,educate,0.2,0.25,tauten.v.02; educate.v.01,tauten.v.01; educate.v.01
assignment,house synonyms × train synonyms,firm,take,0.25,0.333333,tauten.v.01; assume.v.03,tauten.v.01; consume.v.02
assignment,house synonyms × train synonyms,firm,coach,0.1,0.181818,tauten.v.01; coach.v.01,tauten.v.01; coach.v.01
assignment,house synonyms × train synonyms,firm,caravan,0.166667,0.428571,tauten.v.01; caravan.v.01,firm.n.01; caravan.n.01
assignment,house synonyms × train synonyms,firm,condition,0.2,0.307692,tauten.v.02; condition.v.04,firm.n.01; condition.n.01
assignment,house synonyms × train synonyms,firm,groom,0.166667,0.222222,tauten.v.02; dress.v.15,tauten.v.01; dress.v.15
assignment,house synonyms × train synonyms,firm,railroad_train,0.0625,0.117647,firm.n.01; train.n.01,firm.n.01; train.n.01
assignment,house synonyms × train synonyms,firm,string,0.25,0.461538,tauten.v.02; string.v.07,firm.n.01; string.n.09
assignment,house synonyms × train synonyms,firm,take_aim,0.125,0.222222,tauten.v.01; aim.v.01,tauten.v.01; aim.v.01
assignment,house synonyms × train synonyms,firm,check,0.25,0.333333,tauten.v.01; crack.v.01,tauten.v.01; check.v.08
assignment,house synonyms × train synonyms,firm,civilise,0.25,0.285714,tauten.v.02; civilize.v.02,tauten.v.01; civilize.v.02
assignment,house synonyms × train synonyms,firm,civilize,0.25,0.285714,tauten.v.02; civilize.v.02,tauten.v.01; civilize.v.02
assignment,house synonyms × train synonyms,firm,cultivate,0.2,0.333333,tauten.v.01; cultivate.v.01,tauten.v.01; cultivate.v.01
assignment,house synonyms × train synonyms,firm,gear,0.142857,0.25,tauten.v.01; gear.v.01,tauten.v.01; gear.v.01
assignment,house synonyms × train synonyms,firm,gearing,0.142857,0.25,tauten.v.01; gear.v.01,tauten.v.01; gear.v.01
assignment,house synonyms × train synonyms,firm,geartrain,0.055556,0.105263,firm.n.01; gearing.n.01,firm.n.01; gearing.n.01
assignment,house synonyms × train synonyms,firm,power_train,0.055556,0.105263,firm.n.01; gearing.n.01,firm.n.01; gearing.n.01
assignment,house synonyms × train synonyms,firm,rail,0.166667,0.736842,firm.n.01; rail.n.02,firm.n.01; rail.n.02
assignment,house synonyms × train synonyms,firm,school,0.166667,0.625,tauten.v.02; educate.v.03,firm.n.01; school.n.01
assignment,house synonyms × train synonyms,firm,trail,0.2,0.333333,tauten.v.01; trail.v.04,tauten.v.01; trail.v.04
assignment,house synonyms × train synonyms,firm,wagon_train,0.111111,0.428571,firm.n.01; caravan.n.01,firm.n.01; caravan.n.01
assignment,house synonyms × train synonyms,theatre,aim,0.142857,0.625,dramaturgy.n.01; aim.n.03,dramaturgy.n.01; aim.n.03
assignment,house synonyms × train synonyms,theatre,prepare,,,,
assignment,house synonyms × train synonyms,theatre,develop,,,,
assignment,house synonyms × train synonyms,theatre,direct,,,,
assignment,house synonyms × train synonyms,theatre,discipline,0.166667,0.666667,dramaturgy.n.01; discipline.n.04,dramaturgy.n.01; discipline.n.04
assignment,house synonyms × train synonyms,theatre,educate,,,,
assignment,house synonyms × train synonyms,theatre,take,0.111111,0.555556,dramaturgy.n.01; take.n.02,dramaturgy.n.01; take.n.02
assignment,house synonyms × train synonyms,theatre,coach,0.125,0.588235,theater.n.01; bus.n.01,theater.n.01; bus.n.01
assignment,house synonyms × train synonyms,theatre,caravan,0.166667,0.666667,dramaturgy.n.01; caravan.n.01,dramaturgy.n.01; caravan.n.01
assignment,house synonyms × train synonyms,theatre,condition,0.166667,0.666667,dramaturgy.n.01; condition.n.08,dramaturgy.n.01; condition.n.08
assignment,house synonyms × train synonyms,theatre,groom,0.090909,0.421053,field.n.11; groom.n.01,theater.n.01; groom.n.01
assignment,house synonyms × train synonyms,theatre,railroad_train,0.125,0.588235,theater.n.01; train.n.01,theater.n.01; train.n.01
assignment,house synonyms × train synonyms,theatre,string,0.142857,0.625,theater.n.01; string.n.01,theater.n.01; string.n.01
assignment,house synonyms × train synonyms,theatre,take_aim,,,,
assignment,house synonyms × train synonyms,theatre,check,0.142857,0.625,dramaturgy.n.01; bridle.n.02,dramaturgy.n.01; bridle.n.02
assignment,house synonyms × train synonyms,theatre,civilise,,,,
assignment,house synonyms × train synonyms,theatre,civilize,,,,
assignment,house synonyms × train synonyms,theatre,cultivate,,,,
assignment,house synonyms × train synonyms,theatre,gear,0.142857,0.625,theater.n.01; gear.n.04,theater.n.01; gear.n.04
assignment,house synonyms × train synonyms,theatre,gearing,0.1,0.526316,theater.n.01; gearing.n.01,theater.n.01; gearing.n.01
assignment,house synonyms × train synonyms,theatre,geartrain,0.1,0.526316,theater.n.01; gearing.n.01,theater.n.01; gearing.n.01
assignment,house synonyms × train synonyms,theatre,power_train,0.1,0.526316,theater.n.01; gearing.n.01,theater.n.01; gearing.n.01
assignment,house synonyms × train synonyms,theatre,rail,0.166667,0.705882,theater.n.01; railing.n.01,theater.n.01; railing.n.01
assignment,house synonyms × train synonyms,theatre,school,0.333333,0.875,theater.n.01; school.n.02,theater.n.01; school.n.02
assignment,house synonyms × train synonyms,theatre,trail,0.166667,0.615385,field.n.11; trail.n.01,field.n.11; trail.n.01
assignment,house synonyms × train synonyms,theatre,wagon_train,0.166667,0.666667,dramaturgy.n.01; caravan.n.01,dramaturgy.n.01; caravan.n.01
assignment,house synonyms × train synonyms,household,aim,0.090909,0.285714,family.n.01; aim.n.02,family.n.01; aim.n.02
assignment,house synonyms × train synonyms,household,prepare,,,,
assignment,house synonyms × train synonyms,household,develop,,,,
assignment,house synonyms × train synonyms,household,direct,,,,
assignment,house synonyms × train synonyms,household,discipline,0.111111,0.333333,family.n.01; discipline.n.03,family.n.01; discipline.n.03
assignment,house synonyms × train synonyms,household,educate,,,,
assignment,house synonyms × train synonyms,household,take,0.071429,0.235294,family.n.01; return.n.06,family.n.01; return.n.06
assignment,house synonyms × train synonyms,household,coach,0.076923,0.142857,family.n.01; coach.n.01,family.n.01; coach.n.01
assignment,house synonyms × train synonyms,household,caravan,0.125,0.461538,family.n.01; caravan.n.01,family.n.01; caravan.n.01
assignment,house synonyms × train synonyms,household,condition,0.111111,0.333333,family.n.01; condition.n.01,family.n.01; condition.n.01
assignment,house synonyms × train synonyms,household,groom,0.071429,0.133333,family.n.01; groom.n.01,family.n.01; groom.n.01
assignment,house synonyms × train synonyms,household,railroad_train,0.066667,0.125,family.n.01; train.n.01,family.n.01; train.n.01
assignment,house synonyms × train synonyms,household,string,0.142857,0.5,family.n.01; string.n.09,family.n.01; string.n.09
assignment,house synonyms × train synonyms,household,take_aim,,,,
assignment,house synonyms × train synonyms,household,check,0.1,0.307692,family.n.01; arrest.n.02,family.n.01; arrest.n.02
assignment,house synonyms × train synonyms,household,civilise,,,,
assignment,house synonyms × train synonyms,household,civilize,,,,
assignment,house synonyms × train synonyms,household,cultivate,,,,
assignment,house synonyms × train synonyms,household,gear,0.071429,0.133333,family.n.01; gear.n.04,family.n.01; gear.n.04
assignment,house synonyms × train synonyms,household,gearing,0.058824,0.111111,family.n.01; gearing.n.01,family.n.01; gearing.n.01
assignment,house synonyms × train synonyms,household,geartrain,0.058824,0.111111,family.n.01; gearing.n.01,family.n.01; gearing.n.01
assignment,house synonyms × train synonyms,household,power_train,0.058824,0.111111,family.n.01; gearing.n.01,family.n.01; gearing.n.01
assignment,house synonyms × train synonyms,household,rail,0.111111,0.555556,family.n.01; rail.n.02,family.n.01; rail.n.02
assignment,house synonyms × train synonyms,household,school,0.166667,0.666667,family.n.01; school.n.01,family.n.01; school.n.01
assignment,house synonyms × train synonyms,household,trail,0.090909,0.285714,family.n.01; lead.n.03,family.n.01; lead.n.03
assignment,house synonyms × train synonyms,household,wagon_train,0.125,0.461538,family.n.01; caravan.n.01,family.n.01; caravan.n.01
assignment,house synonyms × train synonyms,theater,aim,0.142857,0.625,dramaturgy.n.01; aim.n.03,dramaturgy.n.01; aim.n.03
assignment,house synonyms × train synonyms,theater,prepare,,,,
assignment,house synonyms × train synonyms,theater,develop,,,,
assignment,house synonyms × train synonyms,theater,direct,,,,
assignment,house synonyms × train synonyms,theater,discipline,0.166667,0.666667,dramaturgy.n.01; discipline.n.04,dramaturgy.n.01; discipline.n.04
assignment,house synonyms × train synonyms,theater,educate,,,,
assignment,house synonyms × train synonyms,theater,take,0.111111,0.555556,dramaturgy.n.01; take.n.02,dramaturgy.n.01; take.n.02
assignment,house synonyms × train synonyms,theater,coach,0.125,0.588235,theater.n.01; bus.n.01,theater.n.01; bus.n.01
assignment,house synonyms × train synonyms,theater,caravan,0.166667,0.666667,dramaturgy.n.01; caravan.n.01,dramaturgy.n.01; caravan.n.01
assignment,house synonyms × train synonyms,theater,condition,0.166667,0.666667,dramaturgy.n.01; condition.n.08,dramaturgy.n.01; condition.n.08
assignment,house synonyms × train synonyms,theater,groom,0.090909,0.421053,field.n.11; groom.n.01,theater.n.01; groom.n.01
assignment,house synonyms × train synonyms,theater,railroad_train,0.125,0.588235,theater.n.01; train.n.01,theater.n.01; train.n.01
assignment,house synonyms × train synonyms,theater,string,0.142857,0.625,theater.n.01; string.n.01,theater.n.01; string.n.01
assignment,house synonyms × train synonyms,theater,take_aim,,,,
assignment,house synonyms × train synonyms,theater,check,0.142857,0.625,dramaturgy.n.01; bridle.n.02,dramaturgy.n.01; bridle.n.02
assignment,house synonyms × train synonyms,theater,civilise,,,,
assignment,house synonyms × train synonyms,theater,civilize,,,,
assignment,house synonyms × train synonyms,theater,cultivate,,,,
assignment,house synonyms × train synonyms,theater,gear,0.142857,0.625,theater.n.01; gear.n.04,theater.n.01; gear.n.04
assignment,house synonyms × train synonyms,theater,gearing,0.1,0.526316,theater.n.01; gearing.n.01,theater.n.01; gearing.n.01
assignment,house synonyms × train synonyms,theater,geartrain,0.1,0.526316,theater.n.01; gearing.n.01,theater.n.01; gearing.n.01
assignment,house synonyms × train synonyms,theater,power_train,0.1,0.526316,theater.n.01; gearing.n.01,theater.n.01; gearing.n.01
assignment,house synonyms × train synonyms,theater,rail,0.166667,0.705882,theater.n.01; railing.n.01,theater.n.01; railing.n.01
assignment,house synonyms × train synonyms,theater,school,0.333333,0.875,theater.n.01; school.n.02,theater.n.01; school.n.02
assignment,house synonyms × train synonyms,theater,trail,0.166667,0.615385,field.n.11; trail.n.01,field.n.11; trail.n.01
assignment,house synonyms × train synonyms,theater,wagon_train,0.166667,0.666667,dramaturgy.n.01; caravan.n.01,dramaturgy.n.01; caravan.n.01
assignment,house synonyms × train synonyms,sign,aim,0.25,0.571429,sign.v.06; aim.v.01,sign.n.06; aim.n.02
assignment,house synonyms × train synonyms,sign,prepare,0.2,0.6,sign.v.04; fix.v.12,sign.v.05; train.v.01
assignment,house synonyms × train synonyms,sign,develop,0.25,0.6,sign.v.06; develop.v.16,sign.v.05; train.v.01
assignment,house synonyms × train synonyms,sign,direct,0.333333,0.6,gestural.s.01; direct.s.01,sign.v.05; direct.v.09
assignment,house synonyms × train synonyms,sign,discipline,0.2,0.571429,sign.v.04; discipline.v.02,sign.n.06; discipline.n.01
assignment,house synonyms × train synonyms,sign,educate,0.2,0.6,sign.v.05; train.v.01,sign.v.05; train.v.01
assignment,house synonyms × train synonyms,sign,take,0.25,0.571429,sign.v.04; consume.v.02,sign.v.06; aim.v.01
assignment,house synonyms × train synonyms,sign,coach,0.2,0.625,sign.v.05; coach.v.01,signboard.n.01; bus.n.01
assignment,house synonyms × train synonyms,sign,caravan,0.2,0.571429,sign.v.04; caravan.v.01,augury.n.01; caravan.n.01
assignment,house synonyms × train synonyms,sign,condition,0.333333,0.833333,sign.v.03; stipulate.v.01,sign.v.03; stipulate.v.01
assignment,house synonyms × train synonyms,sign,groom,0.142857,0.444444,sign.v.04; dress.v.15,signboard.n.01; groom.n.01
assignment,house synonyms × train synonyms,sign,railroad_train,0.142857,0.625,signboard.n.01; train.n.01,signboard.n.01; train.n.01
assignment,house synonyms × train synonyms,sign,string,0.25,0.666667,sign.v.06; string.v.01,signboard.n.01; string.n.01
assignment,house synonyms × train synonyms,sign,take_aim,0.25,0.571429,sign.v.06; aim.v.01,sign.v.06; aim.v.01
assignment,house synonyms × train synonyms,sign,check,0.25,0.8,sign.n.06; confirmation.n.01,sign.n.06; confirmation.n.01
assignment,house synonyms × train synonyms,sign,civilise,0.2,0.333333,sign.v.04; civilize.v.02,sign.v.04; civilize.v.02
assignment,house synonyms × train synonyms,sign,civilize,0.2,0.333333,sign.v.04; civilize.v.02,sign.v.04; civilize.v.02
assignment,house synonyms × train synonyms,sign,cultivate,0.25,0.4,sign.v.04; cultivate.v.01,sign.v.04; cultivate.v.01
assignment,house synonyms × train synonyms,sign,gear,0.166667,0.666667,sign.v.04; gear.v.01,signboard.n.01; gear.n.04
assignment,house synonyms × train synonyms,sign,gearing,0.166667,0.555556,sign.v.04; gear.v.01,signboard.n.01; gearing.n.01
assignment,house synonyms × train synonyms,sign,geartrain,0.111111,0.555556,signboard.n.01; gearing.n.01,signboard.n.01; gearing.n.01
assignment,house synonyms × train synonyms,sign,power_train,0.111111,0.555556,signboard.n.01; gearing.n.01,signboard.n.01; gearing.n.01
assignment,house synonyms × train synonyms,sign,rail,0.25,0.75,sign.v.06; rail.v.07,signboard.n.01; railing.n.01
assignment,house synonyms × train synonyms,sign,school,0.25,0.8,signboard.n.01; school.n.02,signboard.n.01; school.n.02
assignment,house synonyms × train synonyms,sign,trail,0.333333,0.857143,sign.n.06; lead.n.03,sign.n.06; lead.n.03
assignment,house synonyms × train synonyms,sign,wagon_train,0.142857,0.571429,augury.n.01; caravan.n.01,augury.n.01; caravan.n.01
assignment,house synonyms × train synonyms,business_firm,aim,0.083333,0.266667,firm.n.01; aim.n.02,firm.n.01; aim.n.02
assignment,house synonyms × train synonyms,business_firm,prepare,,,,
assignment,house synonyms × train synonyms,business_firm,develop,,,,
assignment,house synonyms × train synonyms,business_firm,direct,,,,
assignment,house synonyms × train synonyms,business_firm,discipline,0.1,0.307692,firm.n.01; discipline.n.03,firm.n.01; discipline.n.03
assignment,house synonyms × train synonyms,business_firm,educate,,,,
assignment,house synonyms × train synonyms,business_firm,take,0.066667,0.222222,firm.n.01; return.n.06,firm.n.01; return.n.06
assignment,house synonyms × train synonyms,business_firm,coach,0.071429,0.133333,firm.n.01; coach.n.01,firm.n.01; coach.n.01
assignment,house synonyms × train synonyms,business_firm,caravan,0.111111,0.428571,firm.n.01; caravan.n.01,firm.n.01; caravan.n.01
assignment,house synonyms × train synonyms,business_firm,condition,0.1,0.307692,firm.n.01; condition.n.01,firm.n.01; condition.n.01
assignment,house synonyms × train synonyms,business_firm,groom,0.066667,0.125,firm.n.01; groom.n.01,firm.n.01; groom.n.01
assignment,house synonyms × train synonyms,business_firm,railroad_train,0.0625,0.117647,firm.n.01; train.n.01,firm.n.01; train.n.01
assignment,house synonyms × train synonyms,business_firm,string,0.125,0.461538,firm.n.01; string.n.09,firm.n.01; string.n.09
assignment,house synonyms × train synonyms,business_firm,take_aim,,,,
assignment,house synonyms × train synonyms,business_firm,check,0.090909,0.285714,firm.n.01; arrest.n.02,firm.n.01; arrest.n.02
assignment,house synonyms × train synonyms,business_firm,civilise,,,,
assignment,house synonyms × train synonyms,business_firm,civilize,,,,
assignment,house synonyms × train synonyms,business_firm,cultivate,,,,
assignment,house synonyms × train synonyms,business_firm,gear,0.066667,0.125,firm.n.01; gear.n.04,firm.n.01; gear.n.04
assignment,house synonyms × train synonyms,business_firm,gearing,0.055556,0.105263,firm.n.01; gearing.n.01,firm.n.01; gearing.n.01
assignment,house synonyms × train synonyms,business_firm,geartrain,0.055556,0.105263,firm.n.01; gearing.n.01,firm.n.01; gearing.n.01
assignment,house synonyms × train synonyms,business_firm,power_train,0.055556,0.105263,firm.n.01; gearing.n.01,firm.n.01; gearing.n.01
assignment,house synonyms × train synonyms,business_firm,rail,0.166667,0.736842,firm.n.01; rail.n.02,firm.n.01; rail.n.02
assignment,house synonyms × train synonyms,business_firm,school,0.142857,0.625,firm.n.01; school.n.01,firm.n.01; school.n.01
assignment,house synonyms × train synonyms,business_firm,trail,0.083333,0.266667,firm.n.01; lead.n.03,firm.n.01; lead.n.03
assignment,house synonyms × train synonyms,business_firm,wagon_train,0.111111,0.428571,firm.n.01; caravan.n.01,firm.n.01; caravan.n.01
assignment,house synonyms × train synonyms,domiciliate,aim,0.166667,0.285714,reside.v.01; aim.v.02,reside.v.01; aim.v.02
assignment,house synonyms × train synonyms,domiciliate,prepare,0.166667,0.285714,reside.v.01; fix.v.12,reside.v.01; fix.v.12
assignment,house synonyms × train synonyms,domiciliate,develop,0.166667,0.285714,reside.v.01; break.v.53,reside.v.01; break.v.53
assignment,house synonyms × train synonyms,domiciliate,direct,0.2,0.333333,reside.v.01; lead.v.01,reside.v.01; lead.v.01
assignment,house synonyms × train synonyms,domiciliate,discipline,0.166667,0.285714,reside.v.01; discipline.v.02,reside.v.01; discipline.v.02
assignment,house synonyms × train synonyms,domiciliate,educate,0.142857,0.25,reside.v.01; educate.v.01,reside.v.01; educate.v.01
assignment,house synonyms × train synonyms,domiciliate,take,0.2,0.333333,reside.v.01; consume.v.02,reside.v.01; consume.v.02
assignment,house synonyms × train synonyms,domiciliate,coach,0.1,0.181818,reside.v.01; coach.v.01,reside.v.01; coach.v.01
assignment,house synonyms × train synonyms,domiciliate,caravan,0.166667,0.285714,reside.v.01; caravan.v.01,reside.v.01; caravan.v.01
assignment,house synonyms × train synonyms,domiciliate,condition,0.142857,0.25,reside.v.01; condition.v.04,reside.v.01; condition.v.04
assignment,house synonyms × train synonyms,domiciliate,groom,0.125,0.222222,reside.v.01; dress.v.15,reside.v.01; dress.v.15
assignment,house synonyms × train synonyms,domiciliate,railroad_train,,,,
assignment,house synonyms × train synonyms,domiciliate,string,0.166667,0.285714,reside.v.01; string.v.06,reside.v.01; string.v.06
assignment,house synonyms × train synonyms,domiciliate,take_aim,0.125,0.222222,reside.v.01; aim.v.01,reside.v.01; aim.v.01
assignment,house synonyms × train synonyms,domiciliate,check,0.2,0.333333,reside.v.01; check.v.08,reside.v.01; check.v.08
assignment,house synonyms × train synonyms,domiciliate,civilise,0.166667,0.285714,reside.v.01; civilize.v.02,reside.v.01; civilize.v.02
assignment,house synonyms × train synonyms,domiciliate,civilize,0.166667,0.285714,reside.v.01; civilize.v.02,reside.v.01; civilize.v.02
assignment,house synonyms × train synonyms,domiciliate,cultivate,0.2,0.333333,reside.v.01; cultivate.v.01,reside.v.01; cultivate.v.01
assignment,house synonyms × train synonyms,domiciliate,gear,0.142857,0.25,reside.v.01; gear.v.01,reside.v.01; gear.v.01
assignment,house synonyms × train synonyms,domiciliate,gearing,0.142857,0.25,reside.v.01; gear.v.01,reside.v.01; gear.v.01
assignment,house synonyms × train synonyms,domiciliate,geartrain,,,,
assignment,house synonyms × train synonyms,domiciliate,power_train,,,,
assignment,house synonyms × train synonyms,domiciliate,rail,0.25,0.666667,house.v.02; rail.v.03,house.v.02; rail.v.03
assignment,house synonyms × train synonyms,domiciliate,school,0.142857,0.25,reside.v.01; school.v.03,reside.v.01; school.v.03
assignment,house synonyms × train synonyms,domiciliate,trail,0.2,0.333333,reside.v.01; trail.v.04,reside.v.01; trail.v.04
assignment,house synonyms × train synonyms,domiciliate,wagon_train,,,,
assignment,house synonyms × train synonyms,home,aim,0.166667,0.615385,base.n.14; bearing.n.02,base.n.14; bearing.n.02
assignment,house synonyms × train synonyms,home,prepare,0.166667,0.285714,home.v.02; fix.v.12,home.v.02; fix.v.12
assignment,house synonyms × train synonyms,home,develop,0.166667,0.285714,home.v.02; break.v.53,home.v.02; break.v.53
assignment,house synonyms × train synonyms,home,direct,0.333333,0.5,home.a.01; direct.a.01,home.a.01; direct.a.01
assignment,house synonyms × train synonyms,home,discipline,0.166667,0.5,home.v.02; discipline.v.02,home.n.07; discipline.n.03
assignment,house synonyms × train synonyms,home,educate,0.142857,0.25,home.v.02; educate.v.01,home.v.02; educate.v.01
assignment,house synonyms × train synonyms,home,take,0.2,0.333333,home.v.02; consume.v.02,home.v.02; consume.v.02
assignment,house synonyms × train synonyms,home,coach,0.125,0.6,dwelling.n.01; bus.n.01,home_plate.n.01; bus.n.01
assignment,house synonyms × train synonyms,home,caravan,0.25,0.521739,home.v.02; caravan.v.01,home_plate.n.01; van.n.04
assignment,house synonyms × train synonyms,home,condition,0.2,0.666667,home.n.07; condition.n.01,home.n.07; condition.n.01
assignment,house synonyms × train synonyms,home,groom,0.125,0.421053,home.v.02; dress.v.15,dwelling.n.01; groom.n.01
assignment,house synonyms × train synonyms,home,railroad_train,0.125,0.6,dwelling.n.01; train.n.01,home_plate.n.01; train.n.01
assignment,house synonyms × train synonyms,home,string,0.2,0.625,home.v.02; string.v.03,dwelling.n.01; string.n.01
assignment,house synonyms × train synonyms,home,take_aim,0.125,0.222222,home.v.02; aim.v.01,home.v.02; aim.v.01
assignment,house synonyms × train synonyms,home,check,0.2,0.615385,home.v.02; check.v.08,home.n.07; arrest.n.02
assignment,house synonyms × train synonyms,home,civilise,0.166667,0.285714,home.v.02; civilize.v.02,home.v.02; civilize.v.02
assignment,house synonyms × train synonyms,home,civilize,0.166667,0.285714,home.v.02; civilize.v.02,home.v.02; civilize.v.02
assignment,house synonyms × train synonyms,home,cultivate,0.2,0.333333,home.v.02; cultivate.v.01,home.v.02; cultivate.v.01
assignment,house synonyms × train synonyms,home,gear,0.166667,0.736842,home_plate.n.01; gear.n.04,home_plate.n.01; gear.n.04
assignment,house synonyms × train synonyms,home,gearing,0.142857,0.545455,home.v.02; gear.v.01,home_plate.n.01; gearing.n.01
assignment,house synonyms × train synonyms,home,geartrain,0.1,0.545455,dwelling.n.01; gearing.n.01,home_plate.n.01; gearing.n.01
assignment,house synonyms × train synonyms,home,power_train,0.1,0.545455,dwelling.n.01; gearing.n.01,home_plate.n.01; gearing.n.01
assignment,house synonyms × train synonyms,home,rail,0.2,0.705882,home.v.01; rail.v.03,dwelling.n.01; railing.n.01
assignment,house synonyms × train synonyms,home,school,0.2,0.75,dwelling.n.01; school.n.02,dwelling.n.01; school.n.02
assignment,house synonyms × train synonyms,home,trail,0.25,0.666667,home.v.02; trail.v.03,base.n.14; trail.n.01
assignment,house synonyms × train synonyms,home,wagon_train,0.125,0.461538,family.n.01; caravan.n.01,family.n.01; caravan.n.01
assignment,house synonyms × train synonyms,mansion,aim,0.142857,0.571429,sign_of_the_zodiac.n.01; bearing.n.02,sign_of_the_zodiac.n.01; bearing.n.02
assignment,house synonyms × train synonyms,mansion,prepare,,,,
assignment,house synonyms × train synonyms,mansion,develop,,,,
assignment,house synonyms × train synonyms,mansion,direct,,,,
assignment,house synonyms × train synonyms,mansion,discipline,0.1,0.181818,sign_of_the_zodiac.n.01; discipline.n.03,sign_of_the_zodiac.n.01; discipline.n.03
assignment,house synonyms × train synonyms,mansion,educate,,,,
assignment,house synonyms × train synonyms,mansion,take,0.066667,0.125,sign_of_the_zodiac.n.01; return.n.06,sign_of_the_zodiac.n.01; return.n.06
assignment,house synonyms × train synonyms,mansion,coach,0.111111,0.555556,mansion.n.02; bus.n.01,mansion.n.02; bus.n.01
assignment,house synonyms × train synonyms,mansion,caravan,0.090909,0.47619,sign_of_the_zodiac.n.01; caravan.n.01,mansion.n.02; van.n.04
assignment,house synonyms × train synonyms,mansion,condition,0.1,0.181818,sign_of_the_zodiac.n.01; condition.n.01,sign_of_the_zodiac.n.01; condition.n.01
assignment,house synonyms × train synonyms,mansion,groom,0.090909,0.4,sign_of_the_zodiac.n.01; groom.n.01,mansion.n.02; groom.n.01
assignment,house synonyms × train synonyms,mansion,railroad_train,0.111111,0.555556,mansion.n.02; train.n.01,mansion.n.02; train.n.01
assignment,house synonyms × train synonyms,mansion,string,0.125,0.588235,mansion.n.02; string.n.01,mansion.n.02; string.n.01
assignment,house synonyms × train synonyms,mansion,take_aim,,,,
assignment,house synonyms × train synonyms,mansion,check,0.111111,0.555556,mansion.n.02; check.n.10,mansion.n.02; check.n.10
assignment,house synonyms × train synonyms,mansion,civilise,,,,
assignment,house synonyms × train synonyms,mansion,civilize,,,,
assignment,house synonyms × train synonyms,mansion,cultivate,,,,
assignment,house synonyms × train synonyms,mansion,gear,0.125,0.588235,mansion.n.02; gear.n.04,mansion.n.02; gear.n.04
assignment,house synonyms × train synonyms,mansion,gearing,0.090909,0.5,mansion.n.02; gearing.n.01,mansion.n.02; gearing.n.01
assignment,house synonyms × train synonyms,mansion,geartrain,0.090909,0.5,mansion.n.02; gearing.n.01,mansion.n.02; gearing.n.01
